contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
228	0	1	0.008634806	0.99854493	0	1	0.345	0.655
229	1	0	0.11096266	0.9902569	0	1	0.297	0.703
230	0	1	0.036254063	0.9968344	0	1	0.335	0.665
231	0	1	0.15931778	0.97779036	0	1	0.352	0.648
232	1	0	0.09990601	0.99071705	0	1	0.279	0.721
233	0	1	0.04202422	0.9947443	0	1	0.38	0.62
234	0	1	0.062116973	0.9946979	0	1	0.248	0.752
235	0	1	0.044738963	0.99630153	0	1	0.366	0.634
236	0	1	0.05034989	0.99678254	0	1	0.359	0.641
237	0	1	0.031110412	0.9941684	0	1	0.373	0.627
238	0	1	0.035018813	0.99423563	0	1	0.386	0.614
239	0	1	0.023477964	0.9993685	0	1	0.398	0.602
240	1	0	0.08688791	0.99406385	0	1	0.311	0.689
241	0	1	0.015988102	0.9987557	0	1	0.313	0.687
242	1	0	0.34957457	0.9985483	0	1	0.402	0.598
243	0	1	0.043120224	0.99633014	0	1	0.353	0.647
244	0	1	0.010319202	0.99759376	0	1	0.344	0.656
245	0	1	0.0645021	0.9960005	0	1	0.361	0.639
246	1	0	0.04173109	0.99704045	0	1	0.281	0.719
247	0	1	0.032671906	0.98996687	0	1	0.374	0.626
248	1	0	0.4485053	0.7707706	0	1	0.36	0.64
249	0	1	0.04587718	0.99709404	0	1	0.397	0.603
250	0	1	0.094337575	0.9859407	0	1	0.301	0.699
251	0	1	0.040104177	0.9973084	0	1	0.403	0.597
252	0	1	0.033749	0.9982698	0	1	0.325	0.675
253	0	1	0.033215027	0.9946587	0	1	0.395	0.605
254	0	1	0.16210082	0.9725931	0	1	0.374	0.626
255	0	1	0.54295176	0.7096223	0	1	0.375	0.625
256	0	1	0.5315398	0.7234213	0	1	0.361	0.639
257	0	1	0.03353741	0.99490994	0	1	0.331	0.669
258	1	0	0.06912202	0.9942255	0	1	0.256	0.744
259	1	0	0.5	0.5	0	1	0.5	0.5
260	0	1	0.5	0.5	0	1	0.5	0.5
261	1	0	0.5	0.5	0	1	0.5	0.5
262	0	1	0.5	0.5	0	1	0.5	0.5
263	1	0	0.5	0.5	0	1	0.5	0.5
264	0	1	0.5	0.5	0	1	0.5	0.5
265	0	1	0.5	0.5	0	1	0.5	0.5
266	1	0	0.5	0.5	0	1	0.5	0.5
267	1	0	0.5	0.5	0	1	0.5	0.5
268	1	0	0.5	0.5	0	1	0.5	0.5
269	0	1	0.5	0.5	0	1	0.5	0.5
270	1	0	0.5	0.5	0	1	0.5	0.5
271	0	1	0.5	0.5	0	1	0.5	0.5
272	0	1	0.5	0.5	0	1	0.5	0.5
273	0	1	0.5	0.5	0	1	0.5	0.5
274	1	0	0.5	0.5	0	1	0.5	0.5
275	0	1	0.5	0.5	0	1	0.5	0.5
276	1	0	0.5	0.5	0	1	0.5	0.5
277	1	0	0.5	0.5	0	1	0.5	0.5
278	1	0	0.5	0.5	0	1	0.5	0.5
279	1	0	0.5	0.5	0	1	0.5	0.5
280	1	0	0.5	0.5	0	1	0.5	0.5
281	1	0	0.5	0.5	0	1	0.5	0.5
282	1	0	0.5	0.5	0	1	0.5	0.5
283	0	1	0.5	0.5	0	1	0.5	0.5
284	0	1	0.5	0.5	0	1	0.5	0.5
285	0	1	0.5	0.5	0	1	0.5	0.5
286	1	0	0.5	0.5	0	1	0.5	0.5
287	1	0	0.5	0.5	0	1	0.5	0.5
288	0	1	0.5	0.5	0	1	0.5	0.5
289	0	1	0.5	0.5	0	1	0.5	0.5
290	0	1	0.5	0.5	0	1	0.5	0.5
291	1	0	0.5	0.5	0	1	0.5	0.5
292	0	1	0.5	0.5	0	1	0.5	0.5
293	0	1	0.5	0.5	0	1	0.5	0.5
294	1	0	0.5	0.5	0	1	0.5	0.5
295	1	0	0.5	0.5	0	1	0.5	0.5
296	0	1	0.5	0.5	0	1	0.5	0.5
297	0	1	0.5	0.5	0	1	0.5	0.5
298	1	0	0.5	0.5	0	1	0.5	0.5
299	0	1	0.5	0.5	0	1	0.5	0.5
300	0	1	0.5	0.5	0	1	0.5	0.5
301	0	1	0.5	0.5	0	1	0.5	0.5
302	0	1	0.5	0.5	0	1	0.5	0.5
303	0	1	0.5	0.5	0	1	0.5	0.5
304	0	1	0.5	0.5	0	1	0.5	0.5
305	0	1	0.5	0.5	0	1	0.5	0.5
306	0	1	0.5	0.5	0	1	0.5	0.5
307	0	1	0.5	0.5	0	1	0.5	0.5
308	0	1	0.5	0.5	0	1	0.5	0.5
309	0	1	0.5	0.5	0	1	0.5	0.5
310	0	1	0.5	0.5	0	1	0.5	0.5
311	0	1	0.5	0.5	0	1	0.5	0.5
312	0	1	0.5	0.5	0	1	0.5	0.5
313	0	1	0.5	0.5	0	1	0.5	0.5
314	0	1	0.5	0.5	0	1	0.5	0.5
315	0	1	0.5	0.5	0	1	0.5	0.5
316	0	1	0.5	0.5	0	1	0.5	0.5
317	0	1	0.5	0.5	0	1	0.5	0.5
318	0	1	0.5	0.5	0	1	0.5	0.5
319	0	1	0.5	0.5	0	1	0.5	0.5
320	0	1	0.5	0.5	0	1	0.5	0.5
321	0	1	0.5	0.5	0	1	0.5	0.5
322	0	1	0.5	0.5	0	1	0.5	0.5
323	0	1	0.5	0.5	0	1	0.5	0.5
324	0	1	0.5	0.5	0	1	0.5	0.5
325	0	1	0.5	0.5	0	1	0.5	0.5
326	0	1	0.5	0.5	0	1	0.5	0.5
327	0	1	0.5	0.5	0	1	0.5	0.5
328	0	1	0.5	0.5	0	1	0.5	0.5
329	0	1	0.5	0.5	0	1	0.5	0.5
330	0	1	0.5	0.5	0	1	0.5	0.5
331	0	1	0.5	0.5	0	1	0.5	0.5
332	1	0	0.5	0.5	0	1	0.5	0.5
333	1	0	0.5	0.5	0	1	0.5	0.5
334	1	0	0.5	0.5	0	1	0.5	0.5
335	1	0	0.5	0.5	0	1	0.5	0.5
336	1	0	0.5	0.5	0	1	0.5	0.5
337	0	1	0.5	0.5	0	1	0.5	0.5
338	1	0	0.5	0.5	0	1	0.5	0.5
339	0	1	0.5	0.5	0	1	0.5	0.5
340	0	1	0.5	0.5	0	1	0.5	0.5
341	0	1	0.5	0.5	0	1	0.5	0.5
342	0	1	0.5	0.5	0	1	0.5	0.5
343	1	0	0.5	0.5	0	1	0.5	0.5
344	0	1	0.5	0.5	0	1	0.5	0.5
345	1	0	0.5	0.5	0	1	0.5	0.5
346	1	0	0.5	0.5	0	1	0.5	0.5
347	1	0	0.5	0.5	0	1	0.5	0.5
348	1	0	0.5	0.5	0	1	0.5	0.5
349	1	0	0.5	0.5	0	1	0.5	0.5
350	1	0	0.5	0.5	0	1	0.5	0.5
351	1	0	0.5	0.5	0	1	0.5	0.5
352	0	1	0.5	0.5	0	1	0.5	0.5
353	1	0	0.5	0.5	0	1	0.5	0.5
354	0	1	0.5	0.5	0	1	0.5	0.5
355	0	1	0.5	0.5	0	1	0.5	0.5
356	1	0	0.5	0.5	0	1	0.5	0.5
357	0	1	0.5	0.5	0	1	0.5	0.5
358	1	0	0.5	0.5	0	1	0.5	0.5
359	0	1	0.5	0.5	0	1	0.5	0.5
360	1	0	0.5	0.5	0	1	0.5	0.5
