contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
184	1	0	0.0732868	0.9915414	0	1	0.281	0.719
185	0	1	0.6605404	0.6252424	0	1	0.329	0.671
186	0	1	0.5611528	0.78447866	0	1	0.285	0.715
187	0	1	0.71538484	0.5583916	0	1	0.3	0.7
188	0	1	0.06697789	0.98157614	0	1	0.255	0.745
189	0	1	0.21670206	0.9069885	0	1	0.322	0.678
190	0	1	0.27789915	0.8731272	0	1	0.578	0.422
191	1	0	0.6729468	0.9119015	0	1	0.586	0.414
192	0	1	0.1334956	0.9521253	0	1	0.398	0.602
193	0	1	0.68424594	0.49959666	0	1	0.323	0.677
194	0	1	0.2585344	0.89197904	0	1	0.337	0.663
195	0	1	0.25302887	0.8918159	0	1	0.309	0.691
196	0	1	0.6876881	0.49063388	0	1	0.356	0.644
197	0	1	0.631453	0.6549883	0	1	0.326	0.674
198	0	1	0.20094645	0.9546716	0	1	0.374	0.626
199	1	0	0.81330115	0.4626159	0	1	0.351	0.649
200	0	1	0.14989084	0.97371805	0	1	0.346	0.654
201	0	1	0.6846419	0.6141425	0	1	0.328	0.672
202	0	1	0.031433016	0.9981154	0	1	0.298	0.702
203	0	1	0.06077271	0.99302775	0	1	0.31	0.69
204	0	1	0.028329818	0.9979632	0	1	0.346	0.654
205	1	0	0.55972147	0.78316355	0	1	0.341	0.659
206	0	1	0.68097264	0.5029305	0	1	0.346	0.654
207	0	1	0.053673025	0.99489254	0	1	0.241	0.759
208	1	0	0.7105416	0.8964109	0	1	0.699	0.301
209	1	0	0.14759664	0.97568476	0	1	0.342	0.658
210	0	1	0.14373441	0.9319149	0	1	0.465	0.535
211	0	1	0.14487442	0.9328884	0	1	0.477	0.523
212	0	1	0.014406174	0.998194	0	1	0.322	0.678
213	0	1	0.035174955	0.9973135	0	1	0.381	0.619
214	0	1	0.6812553	0.50028783	0	1	0.308	0.692
215	0	1	0.72655004	0.54668814	0	1	0.339	0.661
216	0	1	0.16898249	0.97411644	0	1	0.334	0.666
217	0	1	0.24523692	0.9504303	0	1	0.29	0.71
218	0	1	0.54508996	0.71314967	0	1	0.34	0.66
219	0	1	0.5417015	0.72709763	0	1	0.373	0.627
220	0	1	0.11571268	0.9633605	0	1	0.362	0.638
221	0	1	0.14920986	0.95496655	0	1	0.382	0.618
222	0	1	0.1484771	0.9547423	0	1	0.355	0.645
