contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
104	1	0	0.53816235	0.8953421	0	1	0.421	0.579
105	1	0	0.7391547	0.74483144	0	1	0.283	0.717
106	0	1	0.033666477	0.9919146	0	1	0.208	0.792
107	0	1	0.03485097	0.9939817	0	1	0.22	0.78
108	0	1	0.2822354	0.9367249	0	1	0.203	0.797
109	0	1	0.51943225	0.84597754	0	1	0.343	0.657
110	0	1	0.011131405	0.9995714	0	1	0.216	0.784
111	0	1	0.009581821	0.999861	0	1	0.336	0.664
112	1	0	0.28009576	0.94965124	0	1	0.246	0.754
113	0	1	0.04866258	0.99124926	0	1	0.18	0.82
114	1	0	0.039804753	0.9961998	0	1	0.139	0.861
115	0	1	0.022695582	0.99339914	0	1	0.279	0.721
116	0	1	0.10015303	0.9656302	0	1	0.162	0.838
117	0	1	0.1389999	0.9665814	0	1	0.155	0.845
118	0	1	0.03869652	0.9887568	0	1	0.406	0.594
119	0	1	0.05824492	0.99459577	0	1	0.247	0.753
120	1	0	0.067441024	0.9928545	0	1	0.27	0.73
121	1	0	0.037350424	0.99783003	0	1	0.281	0.719
122	0	1	0.0041461424	0.9996099	0	1	0.299	0.701
123	0	1	0.004352647	0.9996047	0	1	0.282	0.718
124	0	1	0.046803955	0.9973281	0	1	0.275	0.725
125	1	0	0.5112166	0.9684646	0	1	0.495	0.505
126	0	1	0.051407307	0.9958306	0	1	0.249	0.751
127	0	1	0.39637762	0.9053845	0	1	0.326	0.674
128	0	1	0.03478347	0.9925234	0	1	0.276	0.724
129	0	1	0.03768301	0.9925307	0	1	0.278	0.722
130	1	0	0.0397081	0.99898756	0	1	0.347	0.653
131	1	0	0.18453903	0.94702584	0	1	0.295	0.705
132	1	0	0.1820918	0.9468329	0	1	0.288	0.712
133	0	1	0.07763733	0.99073637	0	1	0.28	0.72
134	0	1	0.042845916	0.99509686	0	1	0.237	0.763
135	0	1	0.5597319	0.79384744	0	1	0.376	0.624
136	0	1	0.28668156	0.9368882	0	1	0.308	0.692
137	1	0	0.38933682	0.9916477	0	1	0.396	0.604
138	1	0	0.017563809	0.99973774	0	1	0.227	0.773
139	0	1	0.0034040886	0.9998536	0	1	0.328	0.672
140	1	0	0.0822111	0.99429595	0	1	0.248	0.752
141	1	0	0.12622039	0.9885261	0	1	0.279	0.721
142	1	0	0.60097206	0.77261055	0	1	0.316	0.684
143	0	1	0.07912598	0.97554994	0	1	0.322	0.678
144	0	1	0.6030458	0.7392947	0	1	0.374	0.626
145	1	0	0.3352651	0.9921807	0	1	0.451	0.549
146	1	0	0.47602436	0.9664333	0	1	0.361	0.639
147	1	0	0.08092544	0.99334633	0	1	0.318	0.682
148	1	0	0.063059136	0.99666226	0	1	0.236	0.764
149	0	1	0.04326954	0.9958456	0	1	0.364	0.636
150	0	1	0.04335785	0.9918915	0	1	0.306	0.694
151	0	1	0.042936694	0.9919263	0	1	0.293	0.707
152	0	1	0.07746296	0.9931365	0	1	0.306	0.694
