contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
27	0	1	0.008063771	0.9949652	0	1	0.277	0.723	0.0937710918703111	0.906228908129689	47349
28	0	1	0.0060941274	0.9966581	0	1	0.0	1.0	0.0414064183289631	0.958593581671037	43596
29	0	1	0.008251466	0.9952648	0	1	0.032	0.968	0.0519049367428228	0.948095063257177	42378
30	0	1	0.0065496955	0.99649066	0	1	0.002	0.998	0.0254656707253972	0.974534329274603	41243
31	0	1	0.012266297	0.992905	0	1	0.037	0.963	0.109277908566784	0.890722091433216	39228
32	0	1	0.013628582	0.9918579	0	1	0.026	0.974	0.0152495792555889	0.984750420744411	34105
33	1	0	0.8892064	0.1786747	1	0	0.98	0.02	0.743604636967913	0.256395363032087	33662
34	0	1	0.0065210676	0.99658626	0	1	0.0	1.0	0.0649801443771437	0.935019855622856	30861
35	0	1	0.0060686227	0.9965966	0	1	0.007	0.993	0.021538124199437	0.978461875800563	29690
36	0	1	0.010962515	0.9935528	0	1	0.002	0.998	0.0207823684916545	0.979217631508346	26797
37	1	0	0.9652456	0.07661385	1	0	0.893	0.107	0.646994917549387	0.353005082450613	19348
38	0	1	0.019979814	0.9882225	0	1	0.333	0.667	0.0164549338658027	0.983545066134197	16368
39	1	0	0.9040085	0.15703966	0	1	0.674	0.326	0.402151365622827	0.597848634377173	13728
40	1	0	0.966257	0.08147545	1	0	0.737	0.263	0.93651443579988	0.06348556420012	9888
41	1	0	0.93609273	0.12502709	1	0	0.921	0.079	0.97382990590119	0.0261700940988104	9679
42	1	0	0.03615289	0.9786926	0	1	0.008	0.992	0.0015342813997792	0.998465718600221	8841
43	1	0	0.94291747	0.10971731	0	1	0.842	0.158	0.339528832805256	0.660471167194744	8301
44	1	0	0.9645788	0.08514606	1	0	0.953	0.047	0.0668117079752442	0.933188292024756	7762
45	1	0	0.8087375	0.3293348	1	0	0.398	0.602	0.273155972613915	0.726844027386085	7066
46	0	1	0.08295373	0.95048416	0	1	0.356	0.644	0.205121781332825	0.794878218667175	6537
47	1	0	0.94295794	0.119607225	1	0	0.766	0.234	0.914339490475344	0.085660509524656	5828
48	1	0	0.9704768	0.06821806	1	0	0.586	0.414	0.0313811243203928	0.968618875679607	5637
49	0	1	0.9725386	0.08260347	0	1	0.225	0.775	0.498529429639448	0.501470570360552	5386
50	0	1	0.1035053	0.9414182	1	0	0.555	0.445	0.514800307540621	0.485199692459379	4873
51	1	0	0.97426915	0.0581167	1	0	0.599	0.401	0.829975151813889	0.170024848186111	4493
52	0	1	0.017324712	0.99161744	0	1	0.06	0.94	0.0600975913705458	0.939902408629454	4113
53	1	0	0.8908208	0.22118287	1	0	0.719	0.281	0.948090779819076	0.0519092201809243	2863
54	1	0	0.9889921	0.075751506	1	0	0.567	0.433	0.953583791901393	0.0464162080986067	2669
55	1	0	0.97318643	0.07677861	1	0	0.488	0.512	0.261913740745978	0.738086259254022	2327
56	0	1	0.07310189	0.99961424	0	1	0.095	0.905	0.0143423828541718	0.985657617145828	2277
57	0	1	0.4702937	0.8346941	0	1	0.014	0.986	0.0213589644983336	0.978641035501666	2259
58	0	1	0.99994016	0.012161374	1	0	0.887	0.113	0.078337588710931	0.921662411289069	2096
59	0	1	0.04473904	0.9805144	0	1	0.141	0.859	0.0072844236465753	0.992715576353425	1836
60	0	1	0.14233395	0.92280525	0	1	0.269	0.731	0.436099500425891	0.563900499574109	1690
61	0	1	0.10102994	0.9413272	0	1	0.323	0.677	0.0524648552581409	0.947535144741859	1620
62	1	0	0.10031556	0.99595773	0	1	0.006	0.994	0.0008585539990484	0.999141446000952	1463
63	0	1	0.02552481	0.98951924	0	1	0.14	0.86	0.0570131469939659	0.942986853006034	1388
64	1	0	0.97662705	0.07782848	1	0	0.423	0.577	0.687793263482869	0.312206736517131	1380
65	0	1	0.034740385	0.9836981	0	1	0.444	0.556	0.267362528923287	0.732637471076713	1244
66	1	0	0.9731614	0.083371826	1	0	0.413	0.587	0.690839751712025	0.309160248287975	1160
67	1	0	0.95870066	0.103024654	1	0	0.412	0.588	0.255940474117603	0.744059525882397	1157
68	1	0	0.90105104	0.22274083	1	0	0.513	0.487	0.796609092260989	0.203390907739011	1151
69	1	0	0.9659331	0.09382284	0	1	0.391	0.609	0.5	0.5	992
70	1	0	0.973562	0.078004785	0	1	0.305	0.695	0.5	0.5	988
71	1	0	0.9714551	0.082180895	0	1	0.226	0.774	0.5	0.5	988
72	1	0	0.9571342	0.11106802	0	1	0.347	0.653	0.5	0.5	970
73	1	0	0.98886967	0.12268029	0	1	0.423	0.577	0.5	0.5	968
74	1	0	0.98185945	0.1412655	0	1	0.411	0.589	0.5	0.5	954
75	1	0	0.064525634	0.9981094	0	1	0.099	0.901	0.5	0.5	867
76	1	0	0.46370652	0.96077454	0	1	0.547	0.453	0.5	0.5	838
77	1	0	0.9129291	0.19268386	0	1	0.294	0.706	0.5	0.5	834
78	1	0	0.9821273	0.14556497	0	1	0.412	0.588	0.5	0.5	800
79	1	0	0.24647796	0.99990463	0	1	0.526	0.474	0.5	0.5	776
80	0	1	0.13965076	0.9795585	0	1	0.231	0.769	0.5	0.5	600
81	1	0	0.95739245	0.11419525	0	1	0.407	0.593	0.5	0.5	544
82	1	0	0.9377201	0.16163069	0	1	0.401	0.599	0.5	0.5	536
83	0	1	0.15062684	0.9803755	0	1	0.079	0.921	0.5	0.5	510
84	1	0	0.53738886	0.94972026	0	1	0.482	0.518	0.5	0.5	491
85	0	1	0.056000236	0.9941903	0	1	0.237	0.763	0.5	0.5	461
86	1	0	0.9928521	0.07873925	0	1	0.44	0.56	0.5	0.5	457
87	1	0	0.9636097	0.10832553	0	1	0.537	0.463	0.5	0.5	413
88	0	1	0.04452529	0.996572	0	1	0.24	0.76	0.5	0.5	398
89	0	1	0.09741542	0.9678517	0	1	0.192	0.808	0.5	0.5	398
90	1	0	0.98252004	0.14915967	0	1	0.33	0.67	0.5	0.5	389
91	1	0	0.9619292	0.8245543	0	1	0.831	0.169	0.5	0.5	382
92	0	1	0.040034074	0.9971626	0	1	0.264	0.736	0.5	0.5	356
93	0	1	0.048110373	0.9923667	0	1	0.265	0.735	0.5	0.5	331
94	1	0	0.037503526	0.998462	0	1	0.161	0.839	0.5	0.5	331
95	1	0	0.9822349	0.13289954	0	1	0.355	0.645	0.5	0.5	299
96	0	1	0.043202322	0.9859808	0	1	0.446	0.554	0.5	0.5	296
97	1	0	0.9649638	0.10510074	0	1	0.345	0.655	0.5	0.5	287
98	1	0	0.96880054	0.10105559	0	1	0.351	0.649	0.5	0.5	287
99	1	0	0.78744346	0.49515504	0	1	0.462	0.538	0.5	0.5	282
100	1	0	0.9809092	0.16886812	0	1	0.319	0.681	0.5	0.5	258
101	1	0	0.7580223	0.782784	0	1	0.309	0.691	0.5	0.5	256
102	1	0	0.99213314	0.09520863	0	1	0.331	0.669	0.5	0.5	251
103	1	0	0.9819082	0.14357021	0	1	0.388	0.612	0.5	0.5	247
104	1	0	0.9880775	0.10725055	0	1	0.39	0.61	0.5	0.5	245
105	0	1	0.010999839	0.99868244	0	1	0.262	0.738	0.5	0.5	241
106	0	1	0.011028413	0.99868107	0	1	0.272	0.728	0.5	0.5	241
107	0	1	0.019558745	0.99925625	0	1	0.275	0.725	0.5	0.5	239
108	1	0	0.18301913	0.9999309	0	1	0.259	0.741	0.5	0.5	224
109	0	1	0.021511557	0.9986428	0	1	0.318	0.682	0.5	0.5	215
110	0	1	0.037950363	0.99698263	0	1	0.287	0.713	0.5	0.5	212
111	0	1	0.24621645	0.94822544	0	1	0.237	0.763	0.5	0.5	211
112	1	0	0.21335813	0.9084715	0	1	0.26	0.74	0.5	0.5	209
113	0	1	0.055043567	0.985837	0	1	0.271	0.729	0.5	0.5	196
114	0	1	0.058623523	0.98079014	0	1	0.35	0.65	0.5	0.5	195
115	0	1	0.011429635	0.9988916	0	1	0.302	0.698	0.5	0.5	185
116	0	1	0.054814886	0.99426925	0	1	0.398	0.602	0.5	0.5	184
117	0	1	0.015515258	0.9992408	0	1	0.292	0.708	0.5	0.5	184
118	0	1	0.05155067	0.99531794	0	1	0.057	0.943	0.5	0.5	181
119	1	0	0.09757761	0.99948347	0	1	0.35	0.65	0.5	0.5	175
120	1	0	0.98647726	0.1633412	0	1	0.342	0.658	0.5	0.5	162
121	1	0	0.9827999	0.15268941	0	1	0.354	0.646	0.5	0.5	162
122	1	0	0.9885776	0.095856234	0	1	0.392	0.608	0.5	0.5	157
123	0	1	0.12329785	0.9853656	0	1	0.271	0.729	0.5	0.5	157
124	1	0	0.9755541	0.22428155	0	1	0.5	0.5	0.5	0.5	156
125	1	0	0.92161167	0.8956888	0	1	0.499	0.501	0.5	0.5	156
126	0	1	0.035715867	0.99857134	0	1	0.311	0.689	0.5	0.5	153
