contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
134	0	1	0.6675099	0.5768968	0	1	0.394	0.606
135	0	1	0.014117861	0.9970977	0	1	0.123	0.877
136	0	1	0.79725707	0.4306041	0	1	0.383	0.617
137	0	1	0.0020527756	0.99977684	0	1	0.281	0.719
138	0	1	0.044557575	0.9855269	0	1	0.171	0.829
139	0	1	0.22334231	0.88370943	0	1	0.252	0.748
140	0	1	0.09445257	0.9580039	0	1	0.174	0.826
141	0	1	0.15502816	0.9475026	0	1	0.17	0.83
142	0	1	0.3033387	0.83830917	0	1	0.375	0.625
143	1	0	0.91667086	0.8625324	0	1	0.545	0.455
144	0	1	0.062411107	0.9777584	0	1	0.19	0.81
145	0	1	0.06413168	0.977368	0	1	0.166	0.834
146	0	1	0.15579563	0.9364573	0	1	0.137	0.863
147	1	0	0.008567314	0.99976015	0	1	0.258	0.742
148	0	1	0.92240524	0.859625	0	1	0.33	0.67
149	0	1	0.020785201	0.99327874	0	1	0.284	0.716
150	0	1	0.008764735	0.9998528	0	1	0.245	0.755
151	0	1	0.1848354	0.94015193	0	1	0.219	0.781
152	0	1	0.104453556	0.9546793	0	1	0.205	0.795
153	0	1	0.057386853	0.99449235	0	1	0.122	0.878
154	1	0	0.015692236	0.9994319	0	1	0.365	0.635
155	0	1	0.11992006	0.9429867	0	1	0.263	0.737
156	0	1	0.12352398	0.9407755	0	1	0.296	0.704
157	0	1	0.85635877	0.3940825	0	1	0.121	0.879
158	1	0	0.6312635	0.9635216	0	1	0.768	0.232
159	0	1	0.65402603	0.5223626	0	1	0.286	0.714
160	0	1	0.062301043	0.9946989	0	1	0.197	0.803
161	1	0	0.6228345	0.6074527	0	1	0.27	0.73
162	1	0	0.07169732	0.9957516	0	1	0.344	0.656
163	0	1	0.076746024	0.9911909	0	1	0.253	0.747
164	0	1	0.054415032	0.98905444	0	1	0.101	0.899
165	0	1	0.718362	0.4518982	0	1	0.361	0.639
166	0	1	0.04659054	0.9889773	0	1	0.268	0.732
167	1	0	0.020527745	0.9951552	0	1	0.186	0.814
168	0	1	0.1629153	0.96637785	0	1	0.114	0.886
169	0	1	0.06706849	0.9946085	0	1	0.291	0.709
170	0	1	0.42564353	0.9431528	0	1	0.308	0.692
171	1	0	0.18377301	0.97747153	0	1	0.433	0.567
172	0	1	0.10367382	0.98503983	0	1	0.226	0.774
173	1	0	0.061767675	0.995992	0	1	0.249	0.751
174	0	1	0.18993898	0.92652476	0	1	0.348	0.652
175	0	1	0.11697116	0.98704934	0	1	0.238	0.762
176	0	1	0.64674985	0.73035073	0	1	0.247	0.753
177	0	1	0.033115923	0.9902679	0	1	0.231	0.769
178	0	1	0.3156235	0.83459663	0	1	0.319	0.681
179	0	1	0.82400775	0.51258254	0	1	0.308	0.692
180	0	1	0.13694985	0.984637	0	1	0.207	0.793
181	1	0	0.010106609	0.99977374	0	1	0.421	0.579
182	0	1	0.009976703	0.9984075	0	1	0.155	0.845
183	0	1	0.009748093	0.99845433	0	1	0.154	0.846
184	0	1	0.14897327	0.98267186	0	1	0.276	0.724
185	0	1	0.580706	0.7935587	0	1	0.392	0.608
186	1	0	0.77521884	0.61360925	0	1	0.435	0.565
187	0	1	0.44268224	0.89267707	0	1	0.253	0.747
188	0	1	0.19615194	0.96552396	0	1	0.215	0.785
189	0	1	0.029497536	0.9906919	0	1	0.372	0.628
190	0	1	0.10804283	0.97578657	0	1	0.295	0.705
191	0	1	0.07074534	0.99269533	0	1	0.24	0.76
192	0	1	0.08783743	0.96716166	0	1	0.208	0.792
193	1	0	0.026865395	0.9991037	0	1	0.34	0.66
194	1	0	0.005666212	0.9998878	0	1	0.333	0.667
195	0	1	0.77313435	0.39028588	0	1	0.176	0.824
